Finding ID,Severity,Rule ID,Title,Version,Vulnerability Discussion,Check Content,Fix Text,False Positives,False Negatives,Mitigations,Documentable
V-253254,MEDIUM,SV-253254r991589_rule,Domain-joined systems must use Windows 11 Enterprise Edition 64-bit version.,WN11-00-000005,Features such as Credential Guard use virtualization-based security to protect information that could be used in credential theft attacks if compromised. There are a number of system requirements that must be met in order for Credential Guard to be configured and enabled properly. Virtualization-based security and Credential Guard are only available with Windows 11 Enterprise 64-bit version.,"Verify domain-joined systems are using Windows 11 Enterprise Edition 64-bit version.

For standalone systems, this is NA.

Open ""Settings"".

Select ""System"", then ""About"".

If ""Edition"" is not ""Windows 11 Enterprise"", this is a finding.

If ""System type"" is not ""64-bit operating system..."", this is a finding.",Use Windows 11 Enterprise 64-bit version for domain-joined systems.,,,,FALSE
V-253255,MEDIUM,SV-253255r971547_rule,Windows 11 domain-joined systems must have a Trusted Platform Module (TPM) enabled.,WN11-00-000010,"Credential Guard uses virtualization-based security to protect information that could be used in credential theft attacks if compromised. There are a number of system requirements that must be met in order for Credential Guard to be configured and enabled properly. Without a TPM enabled and ready for use, Credential Guard keys are stored in a less secure method using software.","Verify domain-joined systems have a TPM enabled and ready for use.

For standalone systems, this is NA.

Virtualization-based security, including Credential Guard, currently cannot be implemented in virtual desktop implementations (VDI) due to specific supporting requirements including a TPM, UEFI with Secure Boot, and the capability to run the Hyper-V feature within the virtual desktop.

For VDIs where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Verify the system has a TPM and is ready for use.
Run ""tpm.msc"".
Review the sections in the center pane.
""Status"" must indicate it has been configured with a message such as ""The TPM is ready for use"" or ""The TPM is on and ownership has been taken"".
TPM Manufacturer Information - Specific Version = 2.0

If a TPM is not found or is not ready for use, this is a finding.","For standalone systems, this is NA.

Virtualization-based security, including Credential Guard, currently cannot be implemented in virtual desktop implementations (VDI) due to specific supporting requirements including a TPM, UEFI with Secure Boot, and the capability to run the Hyper-V feature within the virtual desktop.

For VDIs where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Ensure domain-joined systems must have a TPM that is configured for use. (Versions 2.0 support Credential Guard.)

The TPM must be enabled in the firmware.
Run ""tpm.msc"" for configuration options in Windows.",,,,FALSE
V-253256,MEDIUM,SV-253256r971547_rule,"Windows 11 systems must have Unified Extensible Firmware Interface (UEFI) firmware and be configured to run in UEFI mode, not Legacy BIOS.",WN11-00-000015,"UEFI provides additional security features in comparison to legacy BIOS firmware, including Secure Boot. UEFI is required to support additional security features in Windows 11, including virtualization-based Security and Credential Guard. Systems with UEFI that are operating in Legacy BIOS mode will not support these security features.","For virtual desktop implementations (VDIs) where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Verify the system firmware is configured to run in UEFI mode, not Legacy BIOS.

Run ""System Information"".

Under ""System Summary"", if ""BIOS Mode"" does not display ""UEFI"", this is a finding.","Configure UEFI firmware to run in UEFI mode, not Legacy BIOS mode.",,,,FALSE
V-253257,MEDIUM,SV-253257r971547_rule,Secure Boot must be enabled on Windows 11 systems.,WN11-00-000020,"Secure Boot is a standard that ensures systems boot only to a trusted operating system. Secure Boot is required to support additional security features in Windows 11, including virtualization-based Security and Credential Guard. If Secure Boot is turned off, these security features will not function.","Verify the system firmware is configured for Secure Boot.

For virtual desktop implementations (VDIs) where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Run ""System Information"".

Under ""System Summary"", if ""Secure Boot State"" does not display ""On"", this is a finding.",Enable Secure Boot in the system firmware.,,,,FALSE
V-253258,MEDIUM,SV-253258r1000099_rule,"Windows 11 must employ automated mechanisms to determine the state of system components with regard to flaw remediation using the following frequency: Continuously, where ESS is used; 30 days, for any additional internal network scans not covered by ESS; and annually, for external scans by Computer Network Defense Service Provider (CNDSP).",WN11-00-000025,"An approved tool for continuous network scanning must be installed and configured to run.

Without the use of automated mechanisms to scan for security flaws on a continuous and/or periodic basis, the operating system or other system components may remain vulnerable to the exploits presented by undetected software flaws.

To support this requirement, the operating system may have an integrated solution incorporating continuous scanning using ESS and periodic scanning using other tools, as specified in the requirement.","Verify DOD-approved ESS software is installed and properly operating. Ask the site information system security manager (ISSM) for documentation of the ESS software installation and configuration.

If the ISSM is not able to provide a documented configuration for an installed ESS or if the ESS software is not properly maintained or used, this is a finding.

Note: Example of documentation can be a copy of the site's CCB approved Software Baseline with version of software noted or a memo from the ISSM stating current ESS software and version.",Install DOD-approved ESS software and ensure it is operating continuously.,,,,FALSE
V-253261,MEDIUM,SV-253261r958504_rule,Windows 11 systems must use a BitLocker PIN with a minimum length of six digits for pre-boot authentication.,WN11-00-000032,"If data at rest is unencrypted, it is vulnerable to disclosure. Even if the operating system enforces permissions on data access, an adversary can remove non-volatile memory and read it directly, thereby circumventing operating system controls. Encrypting the data ensures that confidentiality is protected even when the operating system is not running. Pre-boot authentication prevents unauthorized users from accessing encrypted drives. Increasing the pin length requires a greater number of guesses for an attacker.","If the following registry value does not exist or is not configured as specified, this is a finding:

For virtual desktop implementations (VDIs) in which the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

For AVD implementations with no data at rest, this is NA.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\FVE\

Value Name: MinimumPIN
Type: REG_DWORD
Value: 0x00000006 (6) or greater","Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> BitLocker Drive Encryption >> Operating System Drives ""Configure minimum PIN length for startup"" to ""Enabled"" with ""Minimum characters:"" set to ""6"" or greater.",,,,FALSE
V-253262,MEDIUM,SV-253262r958808_rule,"The operating system must employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.",WN11-00-000035,"Utilizing an allowlist provides a configuration management method for allowing the execution of only authorized software. Using only authorized software decreases risk by limiting the number of potential vulnerabilities.

The organization must identify authorized software programs and only permit execution of authorized software. The process used to identify software programs that are authorized to execute on organizational information systems is commonly referred to as allowlisting.","Verify the operating system employs a deny-all, permit-by-exception policy to allow the execution of authorized software programs. This must include packaged apps such as the universal apps installed by default on systems.

If an application allowlisting program is not in use on the system, this is a finding.

Configuration of allowlisting applications will vary by the program.

AppLocker is an allowlisting application built into Windows 11 Enterprise. A deny-by-default implementation is initiated by enabling any AppLocker rules within a category, only allowing what is specified by defined rules.

If AppLocker is used, perform the following to view the configuration of AppLocker:
Run ""PowerShell"".

Execute the following command, substituting [c:\temp\file.xml] with a location and file name appropriate for the system:
Get-AppLockerPolicy -Effective -XML > c:\temp\file.xml

This will produce an xml file with the effective settings that can be viewed in a browser or opened in a program such as Excel for review.

Implementation guidance for AppLocker is available at the following link:

https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/applocker/applocker-policies-deployment-guide","Configure an application allowlisting program to employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.

Configuration of allowlisting applications will vary by the program. AppLocker is an allowlisting application built into Windows 11 Enterprise.

If AppLocker is used, it is configured through group policy in Computer Configuration >> Windows Settings >> Security Settings >> Application Control Policies >> AppLocker.

Implementation guidance for AppLocker is available in the NSA paper ""Application allowlisting using Microsoft AppLocker"" at the following link:

https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/applocker/applocker-policies-deployment-guide",,,,FALSE
V-253266,MEDIUM,SV-253266r991589_rule,Alternate operating systems must not be permitted on the same system.,WN11-00-000055,Allowing other operating systems to run on a secure system may allow security to be circumvented.,"Verify the system does not include other operating system installations.

Run ""Advanced System Settings"".
Select the ""Advanced"" tab.
Click the ""Settings"" button in the ""Startup and Recovery"" section.

If the drop-down list box ""Default operating system:"" shows any operating system other than Windows 11, this is a finding.",Ensure Windows 11 is the only operating system on a device. Remove alternate operating systems.,,,,FALSE
V-253267,MEDIUM,SV-253267r958524_rule,Non-system-created file shares on a system must limit access to groups that require it.,WN11-00-000060,"Shares which provide network access, must not exist on a workstation except for system-created administrative shares, and could potentially expose sensitive information. If a share is necessary, share permissions, as well as NTFS permissions, must be reconfigured to give the minimum access to those accounts that require it.","Non-system-created shares must not exist on workstations.

If only system-created shares exist on the system, this is NA.

Run ""Computer Management"".
Navigate to System Tools >> Shared Folders >> Shares.

If the only shares listed are ""ADMIN$"", ""C$"" and ""IPC$"", this is NA.
(Selecting Properties for system-created shares will display a message that it has been shared for administrative purposes.)

Right-click any non-system-created shares.
Select ""Properties"".
Select the ""Share Permissions"" tab.

Verify the necessity of any shares found.
If the file shares have not been reconfigured to restrict permissions to the specific groups or accounts that require access, this is a finding.

Select the ""Security"" tab.

If the NTFS permissions have not been reconfigured to restrict permissions to the specific groups or accounts that require access, this is a finding.","If a non-system-created share is required on a system, configure the share and NTFS permissions to limit access to the specific groups or accounts that require it.

Remove any unnecessary non-system-created shares.",,,,FALSE
V-253270,MEDIUM,SV-253270r991589_rule,Only accounts responsible for the backup operations must be members of the Backup Operators group.,WN11-00-000075,"Backup Operators are able to read and write to any file in the system, regardless of the rights assigned to it. Backup and restore rights permit users to circumvent the file access restrictions present on NTFS disk drives for backup and restore purposes. Members of the Backup Operators group must have separate logon accounts for performing backup duties.","Run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Groups.
Review the members of the Backup Operators group.

If the group contains no accounts, this is not a finding.

If the group contains any accounts, the accounts must be specifically for backup functions.

If the group contains any standard user accounts used for performing normal user tasks, this is a finding.",Create separate accounts for backup operations for users with this privilege.,,,,FALSE
