Tier,STIG ID,Control Name,Category,Security Value,User Friction,Why It Matters,Registry/PowerShell Fix,GPO Path
TIER 1,V-253358,WDigest Authentication must be disabled,Credential Protection,HIGH,ZERO,Prevents plaintext password storage in LSASS memory,HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest\UseLogonCredential = 0,Computer Config >> Admin Templates >> MS Security Guide >> WDigest Authentication = Disabled
TIER 1,V-253460,Kerberos encryption - prevent DES/RC4,Credential Protection,HIGH,ZERO,Forces modern AES encryption for Kerberos,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\SupportedEncryptionTypes = 0x7ffffff8,Computer Config >> Security Settings >> Local Policies >> Security Options >> Network security: Configure encryption types allowed for Kerberos
TIER 1,V-253285,PowerShell 2.0 must be disabled,Attack Surface Reduction,HIGH,ZERO,Removes legacy PowerShell that bypasses modern security,Disable-WindowsOptionalFeature -Online -FeatureName MicrosoftWindowsPowerShellV2Root,Windows Features >> Uncheck PowerShell 2.0
TIER 1,V-253367,Command line in process creation events,Logging & Detection,MEDIUM,ZERO,Adds forensic detail to process execution logs,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit\ProcessCreationIncludeCmdLine_Enabled = 1,Computer Config >> Admin Templates >> System >> Audit Process Creation >> Include command line = Enabled
TIER 1,V-253414,PowerShell script block logging,Logging & Detection,HIGH,ZERO,Records PowerShell code blocks for malware detection,HKLM\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging\EnableScriptBlockLogging = 1,Computer Config >> Admin Templates >> Windows Components >> Windows PowerShell >> Turn on Script Block Logging = Enabled
TIER 1,V-253437,Force audit policy subcategories,Logging Foundation,CRITICAL,ZERO,Ensures advanced audit policies take precedence,HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SCENoApplyLegacyAuditPolicy = 1,Computer Config >> Security Settings >> Local Policies >> Security Options >> Audit: Force audit policy subcategory settings = Enabled
TIER 1,V-253399,Disable Windows Game Recording,Data Leakage Prevention,MEDIUM,ZERO,Prevents Game DVR from recording sensitive screens,HKLM\SOFTWARE\Policies\Microsoft\Windows\GameDVR\AllowGameDVR = 0,Computer Config >> Admin Templates >> Windows Components >> Windows Game Recording and Broadcasting = Disabled
TIER 1,V-268317,Copilot must be disabled,Data Leakage Prevention,HIGH,ZERO,Prevents AI from sending data to Microsoft cloud,HKCU\SOFTWARE\Policies\Microsoft\Windows\WindowsCopilot\TurnOffWindowsCopilot = 1,User Config >> Admin Templates >> Windows Components >> Windows Copilot >> Turn off Windows Copilot = Enabled
TIER 1,V-253413,Disable auto sign-in after restart,Physical Security,MEDIUM,ZERO,Prevents automatic logon after Windows updates,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\DisableAutomaticRestartSignOn = 1,Computer Config >> Admin Templates >> Windows Components >> Windows Logon Options >> Sign-in last user automatically after restart = Disabled
TIER 1,V-253466,FIPS-compliant algorithms,Encryption Standards,HIGH,ZERO,Forces use of FIPS 140-2 validated cryptography,HKLM\SYSTEM\CurrentControlSet\Control\Lsa\FIPSAlgorithmPolicy\Enabled = 1,Computer Config >> Security Settings >> Local Policies >> Security Options >> System cryptography: Use FIPS compliant algorithms = Enabled
